pais_de_nacimiento,sexo,edad,anno,total
España,Hombres,23,2021,186599
España,Hombres,24,2024,190932
España,Hombres,24,2023,184840
España,Hombres,24,2022,186221
España,Hombres,24,2021,183044
España,Hombres,25,2024,184449
España,Hombres,25,2023,185734
España,Hombres,25,2022,182611
España,Hombres,25,2021,183542
España,Hombres,26,2024,185285
España,Hombres,26,2023,182136
España,Hombres,26,2022,182923
España,Hombres,26,2021,186050
España,Hombres,27,2024,181653
España,Hombres,27,2023,182354
España,Hombres,27,2022,185294
España,Hombres,27,2021,193819
España,Hombres,28,2024,181812
España,Hombres,28,2023,184728
España,Hombres,28,2022,193074
España,Hombres,28,2021,199835
España,Hombres,29,2024,184375
España,Hombres,29,2023,192411
España,Hombres,29,2022,199079
España,Hombres,29,2021,199294
España,Hombres,30,2024,191996
España,Hombres,30,2023,198453
España,Hombres,30,2022,198514
España,Hombres,30,2021,200614
España,Hombres,31,2024,198023
España,Hombres,31,2023,197940
España,Hombres,31,2022,199915
España,Hombres,31,2021,204028
España,Hombres,32,2024,197571
España,Hombres,32,2023,199402
España,Hombres,32,2022,203332
España,Hombres,32,2021,207846
España,Hombres,33,2024,199055
España,Hombres,33,2023,202797
España,Hombres,33,2022,207262
España,Hombres,33,2021,210817
España,Hombres,34,2024,202554
España,Hombres,34,2023,206754
España,Hombres,34,2022,210250
España,Hombres,34,2021,216692
España,Hombres,35,2024,206621
España,Hombres,35,2023,209847
España,Hombres,35,2022,216165
España,Hombres,35,2021,225156
España,Hombres,36,2024,209709
España,Hombres,36,2023,215788
España,Hombres,36,2022,224698
España,Hombres,36,2021,234972
España,Hombres,37,2024,215722
España,Hombres,37,2023,224398
España,Hombres,37,2022,234483
España,Hombres,37,2021,243654
España,Hombres,38,2024,224144
España,Hombres,38,2023,234182
España,Hombres,38,2022,243183
España,Hombres,38,2021,258165
España,Hombres,39,2024,233956
España,Hombres,39,2023,242768
España,Hombres,39,2022,257685
España,Hombres,39,2021,272328
España,Hombres,40,2024,242519
España,Hombres,40,2023,257206
España,Hombres,40,2022,271850
España,Hombres,40,2021,286010
España,Hombres,41,2024,256910
España,Hombres,41,2023,271370
España,Hombres,41,2022,285441
España,Hombres,41,2021,297407
España,Hombres,42,2024,271092
España,Hombres,42,2023,284822
España,Hombres,42,2022,296739
España,Hombres,42,2021,315062
España,Hombres,43,2024,284460
España,Hombres,43,2023,296057
España,Hombres,43,2022,314388
España,Hombres,43,2021,321597
España,Hombres,44,2024,295633
España,Hombres,44,2023,313691
España,Hombres,44,2022,320896
España,Hombres,44,2021,329367
España,Hombres,45,2024,313187
España,Hombres,45,2023,320268
España,Hombres,45,2022,328816
España,Hombres,45,2021,328648
España,Hombres,46,2024,319912
España,Hombres,46,2023,328093
España,Hombres,46,2022,327933
España,Hombres,46,2021,326172
España,Hombres,47,2024,327530
España,Hombres,47,2023,327168
España,Hombres,47,2022,325459
España,Hombres,47,2021,319810
España,Hombres,48,2024,326658
España,Hombres,48,2023,324685
España,Hombres,48,2022,319027
España,Hombres,48,2021,317641
España,Hombres,49,2024,323977
España,Hombres,49,2023,318184
España,Hombres,49,2022,316872
España,Hombres,49,2021,314132
España,Hombres,50,2024,317420
España,Hombres,50,2023,315854
España,Hombres,50,2022,313249
España,Hombres,50,2021,308279
España,Hombres,51,2024,315058
España,Hombres,51,2023,312207
España,Hombres,51,2022,307319
España,Hombres,51,2021,306487
España,Hombres,52,2024,311334
España,Hombres,52,2023,306182
España,Hombres,52,2022,305386
España,Hombres,52,2021,303534
España,Hombres,53,2024,305278
España,Hombres,53,2023,304225
España,Hombres,53,2022,302283
España,Hombres,53,2021,307560
España,Hombres,54,2024,303125
España,Hombres,54,2023,300981
España,Hombres,54,2022,306156
España,Hombres,54,2021,301305
España,Hombres,55,2024,299712
España,Hombres,55,2023,304667
España,Hombres,55,2022,299789
España,Hombres,55,2021,299001
España,Hombres,56,2024,303258
España,Hombres,56,2023,298171
España,Hombres,56,2022,297274
España,Hombres,56,2021,304789
España,Hombres,57,2024,296651
España,Hombres,57,2023,295487
España,Hombres,57,2022,302904
España,Hombres,57,2021,290183
España,Hombres,58,2024,293824
España,Hombres,58,2023,300908
España,Hombres,58,2022,288326
España,Hombres,58,2021,280505
España,Hombres,59,2024,299066
España,Hombres,59,2023,286251
España,Hombres,59,2022,278371
España,Hombres,59,2021,275999
España,Hombres,60,2024,284357
España,Hombres,60,2023,276301
España,Hombres,60,2022,273868
España,Hombres,60,2021,276730
España,Hombres,61,2024,274222
España,Hombres,61,2023,271521
España,Hombres,61,2022,274373
España,Hombres,61,2021,270086
España,Hombres,62,2024,269275
España,Hombres,62,2023,271847
España,Hombres,62,2022,267579
España,Hombres,62,2021,263032
España,Hombres,63,2024,269340
España,Hombres,63,2023,264985
España,Hombres,63,2022,260140
España,Hombres,63,2021,256025
España,Hombres,64,2024,262409
España,Hombres,64,2023,257338
España,Hombres,64,2022,253147
España,Hombres,64,2021,236595
España,Hombres,65,2024,254604
España,Hombres,65,2023,250091
España,Hombres,65,2022,233680
España,Hombres,65,2021,228947
España,Hombres,66,2024,247254
España,Hombres,66,2023,230726
España,Hombres,66,2022,225858
España,Hombres,66,2021,216003
España,Hombres,67,2024,227807
España,Hombres,67,2023,222724
España,Hombres,67,2022,212856
España,Hombres,67,2021,217126
España,Hombres,68,2024,219520
España,Hombres,68,2023,209552
España,Hombres,68,2022,213595
España,Hombres,68,2021,215057
España,Hombres,69,2024,206280
España,Hombres,69,2023,210055
España,Hombres,69,2022,211379
España,Hombres,69,2021,198793
España,Hombres,70,2024,206584
España,Hombres,70,2023,207572
España,Hombres,70,2022,195174
España,Hombres,70,2021,191125
España,Hombres,71,2024,203783
España,Hombres,71,2023,191401
España,Hombres,71,2022,187418
España,Hombres,71,2021,196777
España,Hombres,72,2024,187712
España,Hombres,72,2023,183285
España,Hombres,72,2022,192390
España,Hombres,72,2021,203524
España,Hombres,73,2024,179373
España,Hombres,73,2023,187915
España,Hombres,73,2022,198507
España,Hombres,73,2021,181700
España,Hombres,74,2024,183376
España,Hombres,74,2023,193520
España,Hombres,74,2022,176902
España,Hombres,74,2021,170018
España,Hombres,75,2024,188486
España,Hombres,75,2023,171979
España,Hombres,75,2022,165179
España,Hombres,75,2021,175298
España,Hombres,76,2024,166836
España,Hombres,76,2023,160044
España,Hombres,76,2022,169718
España,Hombres,76,2021,162216
España,Hombres,77,2024,154895
España,Hombres,77,2023,163845
España,Hombres,77,2022,156478
España,Hombres,77,2021,155850
España,Hombres,78,2024,158061
España,Hombres,78,2023,150605
España,Hombres,78,2022,149867
España,Hombres,78,2021,129638
España,Hombres,79,2024,144745
España,Hombres,79,2023,143441
España,Hombres,79,2022,124002
España,Hombres,79,2021,115183
España,Hombres,80,2024,137218
España,Hombres,80,2023,118264
España,Hombres,80,2022,109782
España,Hombres,80,2021,136017
España,Hombres,81,2024,112582
España,Hombres,81,2023,104167
España,Hombres,81,2022,128621
España,Hombres,81,2021,82169
España,Hombres,82,2024,98582
España,Hombres,82,2023,121044
España,Hombres,82,2022,77219
España,Hombres,82,2021,90126
España,Hombres,83,2024,113531
España,Hombres,83,2023,71991
España,Hombres,83,2022,83915
España,Hombres,83,2021,95874
España,Hombres,84,2024,66968
España,Hombres,84,2023,77544
España,Hombres,84,2022,88401
España,Hombres,84,2021,96609
España,Hombres,85,2024,71465
España,Hombres,85,2023,80856
España,Hombres,85,2022,88408
España,Hombres,85,2021,87333
España,Hombres,86,2024,73842
España,Hombres,86,2023,79855
España,Hombres,86,2022,78921
España,Hombres,86,2021,78463
España,Hombres,87,2024,72036
España,Hombres,87,2023,70619
España,Hombres,87,2022,70067
España,Hombres,87,2021,71336
España,Hombres,88,2024,62854
España,Hombres,88,2023,61403
España,Hombres,88,2022,62510
España,Hombres,88,2021,62244
España,Hombres,89,2024,53771
España,Hombres,89,2023,53722
España,Hombres,89,2022,53886
España,Hombres,89,2021,50764
España,Hombres,90,2024,46147
España,Hombres,90,2023,45489
España,Hombres,90,2022,43086
España,Hombres,90,2021,41723
España,Hombres,91,2024,38239
España,Hombres,91,2023,35517
España,Hombres,91,2022,34774
España,Hombres,91,2021,32555
España,Hombres,92,2024,29279
España,Hombres,92,2023,27979
España,Hombres,92,2022,26387
España,Hombres,92,2021,25685
España,Hombres,93,2024,22433
España,Hombres,93,2023,20657
España,Hombres,93,2022,20418
España,Hombres,93,2021,18513
España,Hombres,94,2024,16186
España,Hombres,94,2023,15629
España,Hombres,94,2022,14227
España,Hombres,94,2021,13977
España,Hombres,95,2024,11937
España,Hombres,95,2023,10587
España,Hombres,95,2022,10475
España,Hombres,95,2021,9790
España,Hombres,96,2024,7830
España,Hombres,96,2023,7482
España,Hombres,96,2022,7152
España,Hombres,96,2021,7051
España,Hombres,97,2024,5385
España,Hombres,97,2023,5019
España,Hombres,97,2022,5026
España,Hombres,97,2021,4862
España,Hombres,98,2024,3573
España,Hombres,98,2023,3444
España,Hombres,98,2022,3397
España,Hombres,98,2021,3144
España,Hombres,99,2024,2394
España,Hombres,99,2023,2291
España,Hombres,99,2022,2180
España,Hombres,99,2021,2021
España,Hombres,100,2024,2727
España,Hombres,100,2023,2491
España,Hombres,100,2022,2340
España,Hombres,100,2021,2146
España,Mujeres,0,2024,155286
España,Mujeres,0,2023,158776
España,Mujeres,0,2022,161974
España,Mujeres,0,2021,164968
España,Mujeres,1,2024,159299
España,Mujeres,1,2023,162734
España,Mujeres,1,2022,165762
España,Mujeres,1,2021,174389
España,Mujeres,2,2024,160916
España,Mujeres,2,2023,162156
España,Mujeres,2,2022,169791
España,Mujeres,2,2021,176360
España,Mujeres,3,2024,162606
España,Mujeres,3,2023,170246
España,Mujeres,3,2022,176916
España,Mujeres,3,2021,186426
España,Mujeres,4,2024,169992
España,Mujeres,4,2023,176709
España,Mujeres,4,2022,186013
España,Mujeres,4,2021,194973
España,Mujeres,5,2024,176208
España,Mujeres,5,2023,185505
España,Mujeres,5,2022,194257
España,Mujeres,5,2021,198609
España,Mujeres,6,2024,184850
España,Mujeres,6,2023,193579
España,Mujeres,6,2022,197844
España,Mujeres,6,2021,200523
España,Mujeres,7,2024,193239
España,Mujeres,7,2023,197528
España,Mujeres,7,2022,200154
España,Mujeres,7,2021,199564
España,Mujeres,8,2024,197180
España,Mujeres,8,2023,199830
España,Mujeres,8,2022,199181
España,Mujeres,8,2021,212089
España,Mujeres,9,2024,199623
España,Mujeres,9,2023,198924
España,Mujeres,9,2022,211787
España,Mujeres,9,2021,218406
España,Mujeres,10,2024,198688
España,Mujeres,10,2023,211374
España,Mujeres,10,2022,217956
España,Mujeres,10,2021,223395
España,Mujeres,11,2024,211024
España,Mujeres,11,2023,217536
España,Mujeres,11,2022,222915
España,Mujeres,11,2021,226531
España,Mujeres,12,2024,217369
España,Mujeres,12,2023,222658
España,Mujeres,12,2022,226309
España,Mujeres,12,2021,237571
España,Mujeres,13,2024,222348
España,Mujeres,13,2023,225953
España,Mujeres,13,2022,237218
España,Mujeres,13,2021,227792
España,Mujeres,14,2024,225635
España,Mujeres,14,2023,236942
España,Mujeres,14,2022,227579
España,Mujeres,14,2021,224484
España,Mujeres,15,2024,236685
España,Mujeres,15,2023,227370
España,Mujeres,15,2022,224499
España,Mujeres,15,2021,218030
España,Mujeres,16,2024,227094
España,Mujeres,16,2023,223952
España,Mujeres,16,2022,217853
España,Mujeres,16,2021,212862
España,Mujeres,17,2024,223674
España,Mujeres,17,2023,217476
España,Mujeres,17,2022,212492
España,Mujeres,17,2021,207665
España,Mujeres,18,2024,217544
España,Mujeres,18,2023,212580
España,Mujeres,18,2022,207457
España,Mujeres,18,2021,197283
España,Mujeres,19,2024,212591
España,Mujeres,19,2023,207528
España,Mujeres,19,2022,197293
España,Mujeres,19,2021,193424
España,Mujeres,20,2024,207453
España,Mujeres,20,2023,197198
España,Mujeres,20,2022,193299
España,Mujeres,20,2021,188939
España,Mujeres,21,2024,197044
España,Mujeres,21,2023,193132
España,Mujeres,21,2022,188750
España,Mujeres,21,2021,182248
España,Mujeres,22,2024,193020
España,Mujeres,22,2023,188520
España,Mujeres,22,2022,182046
España,Mujeres,22,2021,174226
España,Mujeres,23,2024,188279
España,Mujeres,23,2023,181753
España,Mujeres,23,2022,173938
España,Mujeres,23,2021,177201
España,Mujeres,24,2024,181420
España,Mujeres,24,2023,173633
España,Mujeres,24,2022,176795
España,Mujeres,24,2021,174507
España,Mujeres,25,2024,173250
España,Mujeres,25,2023,176430
España,Mujeres,25,2022,174025
España,Mujeres,25,2021,173600
España,Mujeres,26,2024,175986
España,Mujeres,26,2023,173556
España,Mujeres,26,2022,172994
España,Mujeres,26,2021,176065
España,Mujeres,27,2024,173178
España,Mujeres,27,2023,172549
España,Mujeres,27,2022,175448
España,Mujeres,27,2021,183150
España,Mujeres,28,2024,172255
España,Mujeres,28,2023,174940
España,Mujeres,28,2022,182541
España,Mujeres,28,2021,190115
España,Mujeres,29,2024,174588
España,Mujeres,29,2023,182189
España,Mujeres,29,2022,189410
España,Mujeres,29,2021,188176
España,Mujeres,30,2024,181908
España,Mujeres,30,2023,189054
España,Mujeres,30,2022,187596
España,Mujeres,30,2021,190385
España,Mujeres,31,2024,188776
España,Mujeres,31,2023,187241
España,Mujeres,31,2022,189816
España,Mujeres,31,2021,193579
España,Mujeres,32,2024,187084
España,Mujeres,32,2023,189481
España,Mujeres,32,2022,193088
España,Mujeres,32,2021,197277
España,Mujeres,33,2024,189352
España,Mujeres,33,2023,192755
España,Mujeres,33,2022,196792
España,Mujeres,33,2021,200607
España,Mujeres,34,2024,192713
España,Mujeres,34,2023,196589
España,Mujeres,34,2022,200220
España,Mujeres,34,2021,207192
España,Mujeres,35,2024,196529
España,Mujeres,35,2023,200035
España,Mujeres,35,2022,206895
España,Mujeres,35,2021,215196
España,Mujeres,36,2024,200111
España,Mujeres,36,2023,206840
España,Mujeres,36,2022,214974
España,Mujeres,36,2021,224552
España,Mujeres,37,2024,206866
España,Mujeres,37,2023,214889
España,Mujeres,37,2022,224353
España,Mujeres,37,2021,233619
España,Mujeres,38,2024,214851
España,Mujeres,38,2023,224200
España,Mujeres,38,2022,233340
España,Mujeres,38,2021,247653
España,Mujeres,39,2024,224219
España,Mujeres,39,2023,233221
España,Mujeres,39,2022,247465
España,Mujeres,39,2021,260664
España,Mujeres,40,2024,233237
España,Mujeres,40,2023,247271
España,Mujeres,40,2022,260412
España,Mujeres,40,2021,275573
España,Mujeres,41,2024,247220
España,Mujeres,41,2023,260253
España,Mujeres,41,2022,275297
España,Mujeres,41,2021,286743
España,Mujeres,42,2024,260133
España,Mujeres,42,2023,275030
España,Mujeres,42,2022,286437
España,Mujeres,42,2021,303102
España,Mujeres,43,2024,275003
España,Mujeres,43,2023,286221
España,Mujeres,43,2022,302734
España,Mujeres,43,2021,308594
España,Mujeres,44,2024,286038
España,Mujeres,44,2023,302451
España,Mujeres,44,2022,308313
España,Mujeres,44,2021,318587
España,Mujeres,45,2024,302335
España,Mujeres,45,2023,308057
España,Mujeres,45,2022,318288
España,Mujeres,45,2021,316897
España,Mujeres,46,2024,307890
España,Mujeres,46,2023,317968
España,Mujeres,46,2022,316548
España,Mujeres,46,2021,316392
España,Mujeres,47,2024,317740
España,Mujeres,47,2023,316210
España,Mujeres,47,2022,316048
España,Mujeres,47,2021,309481
España,Mujeres,48,2024,315988
España,Mujeres,48,2023,315724
España,Mujeres,48,2022,309133
España,Mujeres,48,2021,309215
España,Mujeres,49,2024,315381
España,Mujeres,49,2023,308676
España,Mujeres,49,2022,308737
España,Mujeres,49,2021,305856
España,Mujeres,50,2024,308407
España,Mujeres,50,2023,308297
España,Mujeres,50,2022,305439
España,Mujeres,50,2021,302560
España,Mujeres,51,2024,307936
España,Mujeres,51,2023,304908
España,Mujeres,51,2022,302052
España,Mujeres,51,2021,302408
España,Mujeres,52,2024,304530
España,Mujeres,52,2023,301584
España,Mujeres,52,2022,301868
España,Mujeres,52,2021,301215
España,Mujeres,53,2024,301037
España,Mujeres,53,2023,301294
España,Mujeres,53,2022,300605
España,Mujeres,53,2021,307028
España,Mujeres,54,2024,300739
España,Mujeres,54,2023,299928
España,Mujeres,54,2022,306396
España,Mujeres,54,2021,301433
España,Mujeres,55,2024,299395
España,Mujeres,55,2023,305772
España,Mujeres,55,2022,300713
España,Mujeres,55,2021,301672
España,Mujeres,56,2024,305123
España,Mujeres,56,2023,300017
España,Mujeres,56,2022,300971
España,Mujeres,56,2021,309081
España,Mujeres,57,2024,299332
España,Mujeres,57,2023,300132
España,Mujeres,57,2022,308224
España,Mujeres,57,2021,294159
España,Mujeres,58,2024,299343
España,Mujeres,58,2023,307335
España,Mujeres,58,2022,293292
España,Mujeres,58,2021,287075
España,Mujeres,59,2024,306492
España,Mujeres,59,2023,292357
España,Mujeres,59,2022,286096
España,Mujeres,59,2021,284336
España,Mujeres,60,2024,291435
España,Mujeres,60,2023,285082
España,Mujeres,60,2022,283354
España,Mujeres,60,2021,286736
España,Mujeres,61,2024,284076
España,Mujeres,61,2023,282279
España,Mujeres,61,2022,285601
España,Mujeres,61,2021,280802
España,Mujeres,62,2024,281233
España,Mujeres,62,2023,284476
España,Mujeres,62,2022,279513
España,Mujeres,62,2021,275518
España,Mujeres,63,2024,283290
España,Mujeres,63,2023,278272
España,Mujeres,63,2022,274280
España,Mujeres,63,2021,270698
España,Mujeres,64,2024,277068
España,Mujeres,64,2023,272897
España,Mujeres,64,2022,269346
España,Mujeres,64,2021,251903
España,Mujeres,65,2024,271683
España,Mujeres,65,2023,267987
España,Mujeres,65,2022,250685
España,Mujeres,65,2021,245501
España,Mujeres,66,2024,266682
España,Mujeres,66,2023,249294
España,Mujeres,66,2022,244126
España,Mujeres,66,2021,234841
España,Mujeres,67,2024,247845
España,Mujeres,67,2023,242618
España,Mujeres,67,2022,233435
España,Mujeres,67,2021,235587
España,Mujeres,68,2024,241079
España,Mujeres,68,2023,231967
España,Mujeres,68,2022,234004
España,Mujeres,68,2021,233985
España,Mujeres,69,2024,230340
España,Mujeres,69,2023,232301
España,Mujeres,69,2022,232208
España,Mujeres,69,2021,220291
España,Mujeres,70,2024,230585
España,Mujeres,70,2023,230378
España,Mujeres,70,2022,218613
España,Mujeres,70,2021,214415
España,Mujeres,71,2024,228623
España,Mujeres,71,2023,216755
España,Mujeres,71,2022,212553
España,Mujeres,71,2021,224967
España,Mujeres,72,2024,214873
España,Mujeres,72,2023,210602
España,Mujeres,72,2022,222881
España,Mujeres,72,2021,235681
España,Mujeres,73,2024,208614
España,Mujeres,73,2023,220559
España,Mujeres,73,2022,233276
España,Mujeres,73,2021,213530
España,Mujeres,74,2024,218084
España,Mujeres,74,2023,230497
España,Mujeres,74,2022,210991
España,Mujeres,74,2021,204064
España,Mujeres,75,2024,227702
España,Mujeres,75,2023,208184
España,Mujeres,75,2022,201416
España,Mujeres,75,2021,214115
España,Mujeres,76,2024,205396
España,Mujeres,76,2023,198381
España,Mujeres,76,2022,210777
España,Mujeres,76,2021,200724
España,Mujeres,77,2024,195199
España,Mujeres,77,2023,207149
España,Mujeres,77,2022,197286
España,Mujeres,77,2021,196648
España,Mujeres,78,2024,203416
España,Mujeres,78,2023,193490
España,Mujeres,78,2022,192788
España,Mujeres,78,2021,165819
España,Mujeres,79,2024,189458
España,Mujeres,79,2023,188396
España,Mujeres,79,2022,162151
España,Mujeres,79,2021,151069
España,Mujeres,80,2024,183915
España,Mujeres,80,2023,157821
España,Mujeres,80,2022,147082
España,Mujeres,80,2021,184902
España,Mujeres,81,2024,153573
España,Mujeres,81,2023,142704
España,Mujeres,81,2022,179126
España,Mujeres,81,2021,118802
España,Mujeres,82,2024,138137
España,Mujeres,82,2023,172982
España,Mujeres,82,2022,114611
España,Mujeres,82,2021,132661
España,Mujeres,83,2024,166734
España,Mujeres,83,2023,109774
España,Mujeres,83,2022,127122
España,Mujeres,83,2021,145254
España,Mujeres,84,2024,104982
España,Mujeres,84,2023,121075
España,Mujeres,84,2022,138491
España,Mujeres,84,2021,154131
España,Mujeres,85,2024,114798
España,Mujeres,85,2023,130754
España,Mujeres,85,2022,145625
España,Mujeres,85,2021,142015
España,Mujeres,86,2024,123018
España,Mujeres,86,2023,136395
España,Mujeres,86,2022,133121
España,Mujeres,86,2021,133240
España,Mujeres,87,2024,127166
España,Mujeres,87,2023,123259
España,Mujeres,87,2022,123426
España,Mujeres,87,2021,126296
España,Mujeres,88,2024,113623
España,Mujeres,88,2023,112827
España,Mujeres,88,2022,115508
España,Mujeres,88,2021,114829
España,Mujeres,89,2024,102499
España,Mujeres,89,2023,103964
España,Mujeres,89,2022,103803
España,Mujeres,89,2021,97278
España,Mujeres,90,2024,92914
España,Mujeres,90,2023,91779
España,Mujeres,90,2022,86588
España,Mujeres,90,2021,87033
España,Mujeres,91,2024,80829
España,Mujeres,91,2023,74994
España,Mujeres,91,2022,75933
España,Mujeres,91,2021,71311
España,Mujeres,92,2024,64787
España,Mujeres,92,2023,64653
España,Mujeres,92,2022,60999
España,Mujeres,92,2021,59640
España,Mujeres,93,2024,54861
España,Mujeres,93,2023,50625
España,Mujeres,93,2022,50201
España,Mujeres,93,2021,46180
España,Mujeres,94,2024,41836
España,Mujeres,94,2023,40760
España,Mujeres,94,2022,37944
España,Mujeres,94,2021,37409
España,Mujeres,95,2024,32872
España,Mujeres,95,2023,29954
España,Mujeres,95,2022,29866
España,Mujeres,95,2021,28100
España,Mujeres,96,2024,23615
España,Mujeres,96,2023,22910
España,Mujeres,96,2022,22004
España,Mujeres,96,2021,21230
España,Mujeres,97,2024,17513
España,Mujeres,97,2023,16354
España,Mujeres,97,2022,16154
España,Mujeres,97,2021,15185
España,Mujeres,98,2024,12237
España,Mujeres,98,2023,11638
España,Mujeres,98,2022,11312
España,Mujeres,98,2021,11009
España,Mujeres,99,2024,8403
España,Mujeres,99,2023,8029
España,Mujeres,99,2022,7990
España,Mujeres,99,2021,7098
España,Mujeres,100,2024,12742
España,Mujeres,100,2023,11754
España,Mujeres,100,2022,11157
España,Mujeres,100,2021,10242
Países candidatos a entrar en la UE,Hombres,0,2024,52
Países candidatos a entrar en la UE,Hombres,0,2023,143
Países candidatos a entrar en la UE,Hombres,0,2022,4
Países candidatos a entrar en la UE,Hombres,0,2021,4
Países candidatos a entrar en la UE,Hombres,1,2024,343
Países candidatos a entrar en la UE,Hombres,1,2023,719
Países candidatos a entrar en la UE,Hombres,1,2022,17
Países candidatos a entrar en la UE,Hombres,1,2021,16
Países candidatos a entrar en la UE,Hombres,2,2024,927
Países candidatos a entrar en la UE,Hombres,2,2023,882
Países candidatos a entrar en la UE,Hombres,2,2022,32
Países candidatos a entrar en la UE,Hombres,2,2021,32
Países candidatos a entrar en la UE,Hombres,3,2024,1048
Países candidatos a entrar en la UE,Hombres,3,2023,962
Países candidatos a entrar en la UE,Hombres,3,2022,46
Países candidatos a entrar en la UE,Hombres,3,2021,44
Países candidatos a entrar en la UE,Hombres,4,2024,1145
Países candidatos a entrar en la UE,Hombres,4,2023,1131
Países candidatos a entrar en la UE,Hombres,4,2022,52
Países candidatos a entrar en la UE,Hombres,4,2021,51
Países candidatos a entrar en la UE,Hombres,5,2024,1373
Países candidatos a entrar en la UE,Hombres,5,2023,1300
Países candidatos a entrar en la UE,Hombres,5,2022,61
Países candidatos a entrar en la UE,Hombres,5,2021,58
Países candidatos a entrar en la UE,Hombres,6,2024,1521
Países candidatos a entrar en la UE,Hombres,6,2023,1430
Países candidatos a entrar en la UE,Hombres,6,2022,69
Países candidatos a entrar en la UE,Hombres,6,2021,52
Países candidatos a entrar en la UE,Hombres,7,2024,1687
Países candidatos a entrar en la UE,Hombres,7,2023,1497
Países candidatos a entrar en la UE,Hombres,7,2022,59
Países candidatos a entrar en la UE,Hombres,7,2021,54
Países candidatos a entrar en la UE,Hombres,8,2024,1776
Países candidatos a entrar en la UE,Hombres,8,2023,1482
Países candidatos a entrar en la UE,Hombres,8,2022,64
Países candidatos a entrar en la UE,Hombres,8,2021,59
Países candidatos a entrar en la UE,Hombres,9,2024,1768
Países candidatos a entrar en la UE,Hombres,9,2023,1573
Países candidatos a entrar en la UE,Hombres,9,2022,61
Países candidatos a entrar en la UE,Hombres,9,2021,40
Países candidatos a entrar en la UE,Hombres,10,2024,1799
Países candidatos a entrar en la UE,Hombres,10,2023,1590
Países candidatos a entrar en la UE,Hombres,10,2022,46
Países candidatos a entrar en la UE,Hombres,10,2021,54
Países candidatos a entrar en la UE,Hombres,11,2024,1860
Países candidatos a entrar en la UE,Hombres,11,2023,1455
Países candidatos a entrar en la UE,Hombres,11,2022,60
Países candidatos a entrar en la UE,Hombres,11,2021,34
Países candidatos a entrar en la UE,Hombres,12,2024,1691
Países candidatos a entrar en la UE,Hombres,12,2023,1528
Países candidatos a entrar en la UE,Hombres,12,2022,36
Países candidatos a entrar en la UE,Hombres,12,2021,34
