Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;23.420.453
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;22.942.171
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;22.734.704
Total Nacional;01 Andalucía;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;22.792.542
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;4.810.757
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;5.657.803
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;5.662.582
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;5.625.807
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;5.377.414
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;4.893.024
Total Nacional;01 Andalucía;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;4.580.518
Total Nacional;01 Andalucía;06. Salud;2020;4.717.156
Total Nacional;01 Andalucía;06. Salud;2019;4.916.105
Total Nacional;01 Andalucía;06. Salud;2018;4.789.894
Total Nacional;01 Andalucía;06. Salud;2017;4.460.370
Total Nacional;01 Andalucía;06. Salud;2016;4.118.416
Total Nacional;01 Andalucía;06. Salud;2015;4.067.241
Total Nacional;01 Andalucía;06. Salud;2014;4.009.036
Total Nacional;01 Andalucía;07. Transporte;2020;10.900.842
Total Nacional;01 Andalucía;07. Transporte;2019;15.481.997
Total Nacional;01 Andalucía;07. Transporte;2018;15.490.714
Total Nacional;01 Andalucía;07. Transporte;2017;14.794.238
Total Nacional;01 Andalucía;07. Transporte;2016;13.137.865
Total Nacional;01 Andalucía;07. Transporte;2015;12.535.364
Total Nacional;01 Andalucía;07. Transporte;2014;11.688.205
Total Nacional;01 Andalucía;08. Comunicaciones;2020;2.847.934
Total Nacional;01 Andalucía;08. Comunicaciones;2019;3.009.905
Total Nacional;01 Andalucía;08. Comunicaciones;2018;3.062.240
Total Nacional;01 Andalucía;08. Comunicaciones;2017;2.948.024
Total Nacional;01 Andalucía;08. Comunicaciones;2016;2.812.395
Total Nacional;01 Andalucía;08. Comunicaciones;2015;2.541.238
Total Nacional;01 Andalucía;08. Comunicaciones;2014;2.517.322
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2020;5.143.206
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2019;7.967.073
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2018;7.754.375
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2017;7.449.790
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2016;7.022.997
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2015;6.542.449
Total Nacional;01 Andalucía;09. Ocio, espectáculos y cultura;2014;6.104.937
Total Nacional;01 Andalucía;10. Educación;2020;1.679.055
Total Nacional;01 Andalucía;10. Educación;2019;1.751.569
Total Nacional;01 Andalucía;10. Educación;2018;1.733.443
Total Nacional;01 Andalucía;10. Educación;2017;1.715.108
Total Nacional;01 Andalucía;10. Educación;2016;1.688.191
Total Nacional;01 Andalucía;10. Educación;2015;1.643.142
Total Nacional;01 Andalucía;10. Educación;2014;1.675.498
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2020;9.961.248
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2019;18.389.782
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2018;17.854.459
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2017;17.409.651
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2016;15.684.576
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2015;14.292.579
Total Nacional;01 Andalucía;11. Hoteles, cafés y restaurantes;2014;14.150.230
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2020;9.801.977
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2019;10.926.652
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2018;10.748.265
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2017;10.184.503
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2016;9.681.629
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2015;8.861.477
Total Nacional;01 Andalucía;12. Otros bienes y servicios;2014;8.634.136
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2020;99.408.026
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2019;118.793.453
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2018;116.817.772
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2017;113.164.618
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2016;107.080.766
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2015;101.689.110
Total Nacional;01 Andalucía;Total gasto en consumo final de los hogares interior;2014;99.526.233
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2020;96.201.784
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2019;108.466.558
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2018;106.632.370
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2017;102.918.570
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2016;97.965.217
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2015;93.392.149
Total Nacional;01 Andalucía;P.3. Gasto en consumo final de los hogares;2014;92.336.507
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2020;122.635.095
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2019;133.504.758
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2018;130.498.202
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2017;126.014.482
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2016;120.593.145
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2015;115.198.914
Total Nacional;01 Andalucía;P.4. Consumo final efectivo de los hogares;2014;113.172.020
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2020;2.972.316
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2019;2.723.075
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2018;2.664.592
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2017;2.550.212
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2016;2.546.651
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2015;2.482.977
Total Nacional;02 Aragón;01. Alimentos y bebidas no alcohólicas;2014;2.437.613
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2020;821.650
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2019;787.232
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2018;766.933
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2017;762.526
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2016;755.281
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2015;726.202
Total Nacional;02 Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2014;723.973
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2020;551.781
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2019;744.094
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2018;753.296
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2017;794.541
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2016;810.043
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2015;749.621
Total Nacional;02 Aragón;03. Artículos de vestir y calzado;2014;736.851
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;4.712.240
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;4.796.180
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;4.718.940
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;4.621.208
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;4.547.944
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;4.569.680
Total Nacional;02 Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;4.624.991
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;829.195
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;885.746
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;905.231
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;899.262
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;880.756
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;828.770
Total Nacional;02 Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;797.540
Total Nacional;02 Aragón;06. Salud;2020;835.871
Total Nacional;02 Aragón;06. Salud;2019;870.976
Total Nacional;02 Aragón;06. Salud;2018;853.338
Total Nacional;02 Aragón;06. Salud;2017;813.791
Total Nacional;02 Aragón;06. Salud;2016;807.389
Total Nacional;02 Aragón;06. Salud;2015;813.190
Total Nacional;02 Aragón;06. Salud;2014;787.775
Total Nacional;02 Aragón;07. Transporte;2020;1.586.824
Total Nacional;02 Aragón;07. Transporte;2019;2.117.163
Total Nacional;02 Aragón;07. Transporte;2018;2.147.876
Total Nacional;02 Aragón;07. Transporte;2017;2.058.548
Total Nacional;02 Aragón;07. Transporte;2016;1.919.431
Total Nacional;02 Aragón;07. Transporte;2015;1.969.228
Total Nacional;02 Aragón;07. Transporte;2014;1.952.388
Total Nacional;02 Aragón;08. Comunicaciones;2020;510.889
Total Nacional;02 Aragón;08. Comunicaciones;2019;521.316
Total Nacional;02 Aragón;08. Comunicaciones;2018;526.743
Total Nacional;02 Aragón;08. Comunicaciones;2017;501.945
Total Nacional;02 Aragón;08. Comunicaciones;2016;477.937
Total Nacional;02 Aragón;08. Comunicaciones;2015;454.194
Total Nacional;02 Aragón;08. Comunicaciones;2014;455.878
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2020;926.426
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2019;1.373.183
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2018;1.330.527
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2017;1.276.648
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2016;1.238.858
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2015;1.163.472
Total Nacional;02 Aragón;09. Ocio, espectáculos y cultura;2014;1.109.416
Total Nacional;02 Aragón;10. Educación;2020;271.966
Total Nacional;02 Aragón;10. Educación;2019;281.449
Total Nacional;02 Aragón;10. Educación;2018;277.428
Total Nacional;02 Aragón;10. Educación;2017;274.477
Total Nacional;02 Aragón;10. Educación;2016;270.374
Total Nacional;02 Aragón;10. Educación;2015;262.885
Total Nacional;02 Aragón;10. Educación;2014;266.809
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2020;1.698.637
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2019;2.800.124
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2018;2.664.741
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2017;2.641.806
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2016;2.555.385
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2015;2.577.436
Total Nacional;02 Aragón;11. Hoteles, cafés y restaurantes;2014;2.402.302
Total Nacional;02 Aragón;12. Otros bienes y servicios;2020;2.091.259
Total Nacional;02 Aragón;12. Otros bienes y servicios;2019;2.211.785
Total Nacional;02 Aragón;12. Otros bienes y servicios;2018;2.216.515
Total Nacional;02 Aragón;12. Otros bienes y servicios;2017;2.135.918
Total Nacional;02 Aragón;12. Otros bienes y servicios;2016;2.069.483
Total Nacional;02 Aragón;12. Otros bienes y servicios;2015;1.951.851
Total Nacional;02 Aragón;12. Otros bienes y servicios;2014;1.930.919
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2020;17.809.054
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2019;20.112.323
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2018;19.826.160
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2017;19.330.882
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2016;18.879.532
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2015;18.549.506
Total Nacional;02 Aragón;Total gasto en consumo final de los hogares interior;2014;18.226.455
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2020;17.680.061
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2019;20.235.018
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2018;19.691.443
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2017;19.176.169
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2016;18.590.990
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2015;18.518.375
Total Nacional;02 Aragón;P.3. Gasto en consumo final de los hogares;2014;18.044.286
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2020;22.451.513
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2019;24.798.265
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2018;24.037.110
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2017;23.393.576
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2016;22.685.213
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2015;22.447.699
Total Nacional;02 Aragón;P.4. Consumo final efectivo de los hogares;2014;21.833.322
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2020;2.300.575
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2019;2.132.176
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2018;2.094.692
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2017;2.010.431
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2016;2.000.104
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2015;2.045.529
Total Nacional;03 Asturias, Principado de;01. Alimentos y bebidas no alcohólicas;2014;1.989.949
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2020;737.265
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2019;668.495
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2018;679.319
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2017;687.010
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2016;710.439
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2015;673.708
Total Nacional;03 Asturias, Principado de;02. Bebidas alcohólicas, tabaco y narcóticos;2014;665.205
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2020;458.128
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2019;666.093
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2018;663.003
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2017;692.629
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2016;704.302
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2015;681.830
Total Nacional;03 Asturias, Principado de;03. Artículos de vestir y calzado;2014;635.689
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;3.639.492
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;3.738.612
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;3.699.126
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;3.666.580
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;3.599.384
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;3.632.835
Total Nacional;03 Asturias, Principado de;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;3.702.274
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;609.637
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;672.763
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;690.034
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;703.205
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;684.220
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;669.922
Total Nacional;03 Asturias, Principado de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;631.949
Total Nacional;03 Asturias, Principado de;06. Salud;2020;650.366
Total Nacional;03 Asturias, Principado de;06. Salud;2019;681.027
Total Nacional;03 Asturias, Principado de;06. Salud;2018;658.417
