País de nacimiento;Sexo;Edad;Periodo;Total
Total;Total;20 años;2022;483.514
Total;Total;20 años;2021;482.248
Total;Total;21 años;2024;514.156
Total;Total;21 años;2023;500.702
Total;Total;21 años;2022;489.872
Total;Total;21 años;2021;475.310
Total;Total;22 años;2024;517.077
Total;Total;22 años;2023;508.918
Total;Total;22 años;2022;482.286
Total;Total;22 años;2021;465.844
Total;Total;23 años;2024;526.390
Total;Total;23 años;2023;501.369
Total;Total;23 años;2022;472.856
Total;Total;23 años;2021;477.031
Total;Total;24 años;2024;519.720
Total;Total;24 años;2023;492.950
Total;Total;24 años;2022;483.702
Total;Total;24 años;2021;476.079
Total;Total;25 años;2024;511.085
Total;Total;25 años;2023;504.965
Total;Total;25 años;2022;482.585
Total;Total;25 años;2021;482.112
Total;Total;26 años;2024;523.868
Total;Total;26 años;2023;503.929
Total;Total;26 años;2022;488.819
Total;Total;26 años;2021;492.226
Total;Total;27 años;2024;522.784
Total;Total;27 años;2023;510.027
Total;Total;27 años;2022;498.237
Total;Total;27 años;2021;511.441
Total;Total;28 años;2024;528.614
Total;Total;28 años;2023;518.897
Total;Total;28 años;2022;516.337
Total;Total;28 años;2021;527.352
Total;Total;29 años;2024;537.277
Total;Total;29 años;2023;535.654
Total;Total;29 años;2022;532.003
Total;Total;29 años;2021;526.720
Total;Total;30 años;2024;552.617
Total;Total;30 años;2023;550.920
Total;Total;30 años;2022;531.042
Total;Total;30 años;2021;535.612
Total;Total;31 años;2024;567.596
Total;Total;31 años;2023;549.577
Total;Total;31 años;2022;539.464
Total;Total;31 años;2021;545.673
Total;Total;32 años;2024;564.815
Total;Total;32 años;2023;557.026
Total;Total;32 años;2022;548.764
Total;Total;32 años;2021;556.926
Total;Total;33 años;2024;572.619
Total;Total;33 años;2023;565.983
Total;Total;33 años;2022;559.340
Total;Total;33 años;2021;564.503
Total;Total;34 años;2024;580.753
Total;Total;34 años;2023;575.973
Total;Total;34 años;2022;566.682
Total;Total;34 años;2021;578.945
Total;Total;35 años;2024;589.822
Total;Total;35 años;2023;582.479
Total;Total;35 años;2022;580.872
Total;Total;35 años;2021;598.460
Total;Total;36 años;2024;596.284
Total;Total;36 años;2023;595.609
Total;Total;36 años;2022;600.216
Total;Total;36 años;2021;621.758
Total;Total;37 años;2024;608.529
Total;Total;37 años;2023;614.539
Total;Total;37 años;2022;623.210
Total;Total;37 años;2021;642.557
Total;Total;38 años;2024;626.277
Total;Total;38 años;2023;636.381
Total;Total;38 años;2022;643.936
Total;Total;38 años;2021;678.878
Total;Total;39 años;2024;647.887
Total;Total;39 años;2023;656.590
Total;Total;39 años;2022;679.909
Total;Total;39 años;2021;708.224
Total;Total;40 años;2024;667.210
Total;Total;40 años;2023;691.759
Total;Total;40 años;2022;708.842
Total;Total;40 años;2021;742.702
Total;Total;41 años;2024;701.831
Total;Total;41 años;2023;719.685
Total;Total;41 años;2022;742.824
Total;Total;41 años;2021;762.849
Total;Total;42 años;2024;728.518
Total;Total;42 años;2023;752.774
Total;Total;42 años;2022;762.944
Total;Total;42 años;2021;796.015
Total;Total;43 años;2024;761.112
Total;Total;43 años;2023;771.629
Total;Total;43 años;2022;795.337
Total;Total;43 años;2021;805.438
Total;Total;44 años;2024;779.284
Total;Total;44 años;2023;803.474
Total;Total;44 años;2022;805.028
Total;Total;44 años;2021;818.852
Total;Total;45 años;2024;810.553
Total;Total;45 años;2023;812.657
Total;Total;45 años;2022;818.348
Total;Total;45 años;2021;811.900
Total;Total;46 años;2024;819.361
Total;Total;46 años;2023;825.323
Total;Total;46 años;2022;811.642
Total;Total;46 años;2021;805.736
Total;Total;47 años;2024;831.237
Total;Total;47 años;2023;817.976
Total;Total;47 años;2022;804.906
Total;Total;47 años;2021;784.525
Total;Total;48 años;2024;822.998
Total;Total;48 años;2023;810.687
Total;Total;48 años;2022;783.881
Total;Total;48 años;2021;780.114
Total;Total;49 años;2024;815.470
Total;Total;49 años;2023;788.721
Total;Total;49 años;2022;779.486
Total;Total;49 años;2021;766.331
Total;Total;50 años;2024;793.396
Total;Total;50 años;2023;784.338
Total;Total;50 años;2022;765.803
Total;Total;50 años;2021;755.136
Total;Total;51 años;2024;788.292
Total;Total;51 años;2023;770.121
Total;Total;51 años;2022;754.374
Total;Total;51 años;2021;745.552
Total;Total;52 años;2024;773.539
Total;Total;52 años;2023;758.169
Total;Total;52 años;2022;744.642
Total;Total;52 años;2021;738.460
Total;Total;53 años;2024;761.187
Total;Total;53 años;2023;747.933
Total;Total;53 años;2022;736.906
Total;Total;53 años;2021;741.484
Total;Total;54 años;2024;750.347
Total;Total;54 años;2023;739.547
Total;Total;54 años;2022;740.070
Total;Total;54 años;2021;721.627
Total;Total;55 años;2024;741.668
Total;Total;55 años;2023;742.333
Total;Total;55 años;2022;720.167
Total;Total;55 años;2021;714.344
Total;Total;56 años;2024;743.752
Total;Total;56 años;2023;722.010
Total;Total;56 años;2022;712.789
Total;Total;56 años;2021;721.817
Total;Total;57 años;2024;722.931
Total;Total;57 años;2023;714.154
Total;Total;57 años;2022;720.224
Total;Total;57 años;2021;684.897
Total;Total;58 años;2024;714.763
Total;Total;58 años;2023;721.119
Total;Total;58 años;2022;682.904
Total;Total;58 años;2021;660.394
Total;Total;59 años;2024;720.794
Total;Total;59 años;2023;683.482
Total;Total;59 años;2022;657.816
Total;Total;59 años;2021;642.976
Total;Total;60 años;2024;683.030
Total;Total;60 años;2023;658.162
Total;Total;60 años;2022;640.578
Total;Total;60 años;2021;643.008
Total;Total;61 años;2024;657.578
Total;Total;61 años;2023;640.309
Total;Total;61 años;2022;640.071
Total;Total;61 años;2021;623.113
Total;Total;62 años;2024;639.090
Total;Total;62 años;2023;639.470
Total;Total;62 años;2022;620.002
Total;Total;62 años;2021;606.309
Total;Total;63 años;2024;637.743
Total;Total;63 años;2023;618.932
Total;Total;63 años;2022;602.932
Total;Total;63 años;2021;589.121
Total;Total;64 años;2024;616.810
Total;Total;64 años;2023;601.261
Total;Total;64 años;2022;585.700
Total;Total;64 años;2021;546.765
Total;Total;65 años;2024;599.051
Total;Total;65 años;2023;583.381
Total;Total;65 años;2022;543.309
Total;Total;65 años;2021;528.239
Total;Total;66 años;2024;581.419
Total;Total;66 años;2023;540.238
Total;Total;66 años;2022;524.934
Total;Total;66 años;2021;501.139
Total;Total;67 años;2024;539.179
Total;Total;67 años;2023;522.117
Total;Total;67 años;2022;497.753
Total;Total;67 años;2021;499.477
Total;Total;68 años;2024;519.207
Total;Total;68 años;2023;494.675
Total;Total;68 años;2022;495.138
Total;Total;68 años;2021;493.384
Total;Total;69 años;2024;490.838
Total;Total;69 años;2023;491.240
Total;Total;69 años;2022;488.516
Total;Total;69 años;2021;459.444
Total;Total;70 años;2024;486.711
Total;Total;70 años;2023;484.348
Total;Total;70 años;2022;454.666
Total;Total;70 años;2021;444.415
Total;Total;71 años;2024;479.113
Total;Total;71 años;2023;450.128
Total;Total;71 años;2022;439.053
Total;Total;71 años;2021;457.088
Total;Total;72 años;2024;444.689
Total;Total;72 años;2023;433.769
Total;Total;72 años;2022;450.902
Total;Total;72 años;2021;472.417
Total;Total;73 años;2024;427.787
Total;Total;73 años;2023;444.919
Total;Total;73 años;2022;465.296
Total;Total;73 años;2021;426.705
Total;Total;74 años;2024;437.717
Total;Total;74 años;2023;458.095
Total;Total;74 años;2022;419.502
Total;Total;74 años;2021;402.442
Total;Total;75 años;2024;449.680
Total;Total;75 años;2023;412.103
Total;Total;75 años;2022;394.987
Total;Total;75 años;2021;413.442
Total;Total;76 años;2024;403.442
Total;Total;76 años;2023;386.918
Total;Total;76 años;2022;404.408
Total;Total;76 años;2021;386.217
Total;Total;77 años;2024;377.891
Total;Total;77 años;2023;394.960
Total;Total;77 años;2022;376.882
Total;Total;77 años;2021;373.110
Total;Total;78 años;2024;384.858
Total;Total;78 años;2023;367.056
Total;Total;78 años;2022;362.982
Total;Total;78 años;2021;314.298
Total;Total;79 años;2024;356.352
Total;Total;79 años;2023;351.975
Total;Total;79 años;2022;304.578
Total;Total;79 años;2021;282.591
Total;Total;80 años;2024;340.371
Total;Total;80 años;2023;294.214
Total;Total;80 años;2022;272.800
Total;Total;80 años;2021;336.309
Total;Total;81 años;2024;283.559
Total;Total;81 años;2023;262.571
Total;Total;81 años;2022;322.563
Total;Total;81 años;2021;214.453
Total;Total;82 años;2024;251.586
Total;Total;82 años;2023;308.468
Total;Total;82 años;2022;204.762
Total;Total;82 años;2021;234.217
Total;Total;83 años;2024;293.922
Total;Total;83 años;2023;194.324
Total;Total;83 años;2022;221.993
Total;Total;83 años;2021;250.908
Total;Total;84 años;2024;183.733
Total;Total;84 años;2023;209.200
Total;Total;84 años;2022;236.192
Total;Total;84 años;2021;259.304
Total;Total;85 años;2024;196.132
Total;Total;85 años;2023;220.461
Total;Total;85 años;2022;242.100
Total;Total;85 años;2021;236.390
Total;Total;86 años;2024;205.066
Total;Total;86 años;2023;223.812
Total;Total;86 años;2022;218.667
Total;Total;86 años;2021;217.753
Total;Total;87 años;2024;206.129
Total;Total;87 años;2023;200.095
Total;Total;87 años;2022;199.113
Total;Total;87 años;2021;202.786
Total;Total;88 años;2024;182.106
Total;Total;88 años;2023;179.452
Total;Total;88 años;2022;182.761
Total;Total;88 años;2021;181.732
Total;Total;89 años;2024;160.925
Total;Total;89 años;2023;161.976
Total;Total;89 años;2022;161.880
Total;Total;89 años;2021;152.188
Total;Total;90 años;2024;142.898
Total;Total;90 años;2023;140.983
Total;Total;90 años;2022;133.319
Total;Total;90 años;2021;132.455
Total;Total;91 años;2024;122.334
Total;Total;91 años;2023;113.705
Total;Total;91 años;2022;113.937
Total;Total;91 años;2021;106.697
Total;Total;92 años;2024;96.780
Total;Total;92 años;2023;95.452
Total;Total;92 años;2022;89.845
Total;Total;92 años;2021;87.490
Total;Total;93 años;2024;79.709
Total;Total;93 años;2023;73.321
Total;Total;93 años;2022;72.501
Total;Total;93 años;2021;66.413
Total;Total;94 años;2024;59.706
Total;Total;94 años;2023;57.958
Total;Total;94 años;2022;53.645
Total;Total;94 años;2021;52.782
Total;Total;95 años;2024;46.107
Total;Total;95 años;2023;41.723
Total;Total;95 años;2022;41.524
Total;Total;95 años;2021;38.909
Total;Total;96 años;2024;32.357
Total;Total;96 años;2023;31.332
Total;Total;96 años;2022;29.983
Total;Total;96 años;2021;29.037
Total;Total;97 años;2024;23.636
Total;Total;97 años;2023;21.992
Total;Total;97 años;2022;21.799
Total;Total;97 años;2021;20.556
Total;Total;98 años;2024;16.310
Total;Total;98 años;2023;15.541
Total;Total;98 años;2022;15.110
Total;Total;98 años;2021;14.545
Total;Total;99 años;2024;11.157
Total;Total;99 años;2023;10.614
Total;Total;99 años;2022;10.488
Total;Total;99 años;2021;9.396
Total;Total;100 y más años;2024;15.911
Total;Total;100 y más años;2023;14.660
Total;Total;100 y más años;2022;13.914
Total;Total;100 y más años;2021;12.756
Total;Hombres;Todas las edades;2024;23.826.871
Total;Hombres;Todas las edades;2023;23.565.593
Total;Hombres;Todas las edades;2022;23.288.747
Total;Hombres;Todas las edades;2021;23.248.611
Total;Hombres;0 años;2024;164.763
Total;Hombres;0 años;2023;169.800
Total;Hombres;0 años;2022;173.783
Total;Hombres;0 años;2021;173.823
Total;Hombres;1 año;2024;174.205
Total;Hombres;1 año;2023;178.921
Total;Hombres;1 año;2022;177.313
Total;Hombres;1 año;2021;187.777
Total;Hombres;2 años;2024;180.992
Total;Hombres;2 años;2023;178.154
Total;Hombres;2 años;2022;185.361
Total;Hombres;2 años;2021;193.033
Total;Hombres;3 años;2024;182.482
Total;Hombres;3 años;2023;190.572
Total;Hombres;3 años;2022;195.567
Total;Hombres;3 años;2021;208.213
Total;Hombres;4 años;2024;194.240
Total;Hombres;4 años;2023;200.440
Total;Hombres;4 años;2022;209.754
Total;Hombres;4 años;2021;219.622
Total;Hombres;5 años;2024;204.039
Total;Hombres;5 años;2023;214.698
Total;Hombres;5 años;2022;220.791
Total;Hombres;5 años;2021;225.512
Total;Hombres;6 años;2024;218.432
Total;Hombres;6 años;2023;225.565
Total;Hombres;6 años;2022;226.950
Total;Hombres;6 años;2021;230.208
Total;Hombres;7 años;2024;229.829
Total;Hombres;7 años;2023;231.943
Total;Hombres;7 años;2022;231.916
Total;Hombres;7 años;2021;227.475
Total;Hombres;8 años;2024;236.185
Total;Hombres;8 años;2023;236.850
Total;Hombres;8 años;2022;229.166
Total;Hombres;8 años;2021;241.358
Total;Hombres;9 años;2024;241.196
Total;Hombres;9 años;2023;234.395
Total;Hombres;9 años;2022;243.217
Total;Hombres;9 años;2021;247.973
Total;Hombres;10 años;2024;238.599
Total;Hombres;10 años;2023;248.245
Total;Hombres;10 años;2022;249.494
Total;Hombres;10 años;2021;253.436
Total;Hombres;11 años;2024;252.477
Total;Hombres;11 años;2023;254.156
Total;Hombres;11 años;2022;254.912
Total;Hombres;11 años;2021;258.781
Total;Hombres;12 años;2024;258.423
Total;Hombres;12 años;2023;259.729
Total;Hombres;12 años;2022;260.062
Total;Hombres;12 años;2021;270.212
Total;Hombres;13 años;2024;263.927
Total;Hombres;13 años;2023;264.723
Total;Hombres;13 años;2022;271.426
Total;Hombres;13 años;2021;260.118
Total;Hombres;14 años;2024;268.810
Total;Hombres;14 años;2023;276.257
Total;Hombres;14 años;2022;261.643
Total;Hombres;14 años;2021;258.861
Total;Hombres;15 años;2024;280.624
Total;Hombres;15 años;2023;266.390
Total;Hombres;15 años;2022;261.191
Total;Hombres;15 años;2021;253.470
Total;Hombres;16 años;2024;271.109
Total;Hombres;16 años;2023;265.790
Total;Hombres;16 años;2022;255.856
Total;Hombres;16 años;2021;252.882
Total;Hombres;17 años;2024;271.465
Total;Hombres;17 años;2023;261.546
Total;Hombres;17 años;2022;255.694
Total;Hombres;17 años;2021;249.083
Total;Hombres;18 años;2024;269.774
Total;Hombres;18 años;2023;264.715
Total;Hombres;18 años;2022;254.065
Total;Hombres;18 años;2021;244.164
Total;Hombres;19 años;2024;272.939
Total;Hombres;19 años;2023;262.996
Total;Hombres;19 años;2022;249.580
Total;Hombres;19 años;2021;245.663
Total;Hombres;20 años;2024;270.317
Total;Hombres;20 años;2023;258.128
Total;Hombres;20 años;2022;249.637
Total;Hombres;20 años;2021;249.644
Total;Hombres;21 años;2024;265.604
Total;Hombres;21 años;2023;258.220
Total;Hombres;21 años;2022;253.579
Total;Hombres;21 años;2021;244.035
Total;Hombres;22 años;2024;266.211
Total;Hombres;22 años;2023;262.775
Total;Hombres;22 años;2022;247.459
Total;Hombres;22 años;2021;239.801
Total;Hombres;23 años;2024;271.243
Total;Hombres;23 años;2023;256.872
Total;Hombres;23 años;2022;243.217
Total;Hombres;23 años;2021;243.573
Total;Hombres;24 años;2024;266.212
Total;Hombres;24 años;2023;253.109
Total;Hombres;24 años;2022;247.100
Total;Hombres;24 años;2021;242.207
Total;Hombres;25 años;2024;262.384
Total;Hombres;25 años;2023;257.588
Total;Hombres;25 años;2022;245.778
Total;Hombres;25 años;2021;245.547
Total;Hombres;26 años;2024;267.232
Total;Hombres;26 años;2023;256.337
Total;Hombres;26 años;2022;249.076
Total;Hombres;26 años;2021;250.196
Total;Hombres;27 años;2024;265.894
Total;Hombres;27 años;2023;259.688
Total;Hombres;27 años;2022;253.322
Total;Hombres;27 años;2021;259.689
Total;Hombres;28 años;2024;269.105
Total;Hombres;28 años;2023;263.513
Total;Hombres;28 años;2022;262.305
Total;Hombres;28 años;2021;266.880
Total;Hombres;29 años;2024;273.054
Total;Hombres;29 años;2023;271.644
Total;Hombres;29 años;2022;269.428
Total;Hombres;29 años;2021;266.912
Total;Hombres;30 años;2024;280.434
Total;Hombres;30 años;2023;278.630
Total;Hombres;30 años;2022;269.215
Total;Hombres;30 años;2021;270.274
Total;Hombres;31 años;2024;287.049
Total;Hombres;31 años;2023;278.189
Total;Hombres;31 años;2022;272.307
Total;Hombres;31 años;2021;274.358
Total;Hombres;32 años;2024;286.021
Total;Hombres;32 años;2023;280.693
Total;Hombres;32 años;2022;275.809
Total;Hombres;32 años;2021;279.411
Total;Hombres;33 años;2024;288.620
Total;Hombres;33 años;2023;284.117
Total;Hombres;33 años;2022;280.453
Total;Hombres;33 años;2021;282.820
Total;Hombres;34 años;2024;291.510
Total;Hombres;34 años;2023;288.457
Total;Hombres;34 años;2022;283.984
Total;Hombres;34 años;2021;288.865
Total;Hombres;35 años;2024;295.467
Total;Hombres;35 años;2023;291.210
Total;Hombres;35 años;2022;289.648
Total;Hombres;35 años;2021;298.834
Total;Hombres;36 años;2024;298.027
Total;Hombres;36 años;2023;296.284
Total;Hombres;36 años;2022;299.564
Total;Hombres;36 años;2021;310.677
Total;Hombres;37 años;2024;302.844
Total;Hombres;37 años;2023;306.067
Total;Hombres;37 años;2022;311.142
Total;Hombres;37 años;2021;321.401
Total;Hombres;38 años;2024;311.846
Total;Hombres;38 años;2023;316.872
Total;Hombres;38 años;2022;321.936
Total;Hombres;38 años;2021;340.343
Total;Hombres;39 años;2024;322.319
Total;Hombres;39 años;2023;327.420
Total;Hombres;39 años;2022;340.484
Total;Hombres;39 años;2021;356.268
Total;Hombres;40 años;2024;332.436
Total;Hombres;40 años;2023;345.547
Total;Hombres;40 años;2022;356.151
Total;Hombres;40 años;2021;374.273
Total;Hombres;41 años;2024;350.331
Total;Hombres;41 años;2023;360.609
Total;Hombres;41 años;2022;373.841
Total;Hombres;41 años;2021;384.404
Total;Hombres;42 años;2024;364.650
Total;Hombres;42 años;2023;377.916
Total;Hombres;42 años;2022;384.028
Total;Hombres;42 años;2021;402.611
Total;Hombres;43 años;2024;381.506
Total;Hombres;43 años;2023;387.343
Total;Hombres;43 años;2022;401.675
Total;Hombres;43 años;2021;409.024
Total;Hombres;44 años;2024;390.542
Total;Hombres;44 años;2023;404.745
Total;Hombres;44 años;2022;408.027
Total;Hombres;44 años;2021;414.486
Total;Hombres;45 años;2024;407.620
Total;Hombres;45 años;2023;410.843
Total;Hombres;45 años;2022;413.703
Total;Hombres;45 años;2021;412.081
Total;Hombres;46 años;2024;413.649
Total;Hombres;46 años;2023;416.290
Total;Hombres;46 años;2022;411.361
Total;Hombres;46 años;2021;407.886
Total;Hombres;47 años;2024;418.570
Total;Hombres;47 años;2023;413.579
Total;Hombres;47 años;2022;406.796
Total;Hombres;47 años;2021;397.228
Total;Hombres;48 años;2024;415.406
Total;Hombres;48 años;2023;408.632
Total;Hombres;48 años;2022;396.303
Total;Hombres;48 años;2021;394.186
Total;Hombres;49 años;2024;410.241
Total;Hombres;49 años;2023;397.587
Total;Hombres;49 años;2022;393.296
Total;Hombres;49 años;2021;386.392
Total;Hombres;50 años;2024;399.116
Total;Hombres;50 años;2023;394.484
Total;Hombres;50 años;2022;385.576
Total;Hombres;50 años;2021;380.041
Total;Hombres;51 años;2024;395.582
Total;Hombres;51 años;2023;386.474
Total;Hombres;51 años;2022;379.096
Total;Hombres;51 años;2021;373.637
Total;Hombres;52 años;2024;387.238
Total;Hombres;52 años;2023;379.656
Total;Hombres;52 años;2022;372.582
Total;Hombres;52 años;2021;368.766
Total;Hombres;53 años;2024;380.304
Total;Hombres;53 años;2023;373.092
Total;Hombres;53 años;2022;367.384
Total;Hombres;53 años;2021;368.945
Total;Hombres;54 años;2024;373.412
Total;Hombres;54 años;2023;367.586
Total;Hombres;54 años;2022;367.545
Total;Hombres;54 años;2021;358.729
Total;Hombres;55 años;2024;367.721
Total;Hombres;55 años;2023;367.472
Total;Hombres;55 años;2022;357.401
Total;Hombres;55 años;2021;353.252
Total;Hombres;56 años;2024;367.360
Total;Hombres;56 años;2023;357.123
Total;Hombres;56 años;2022;351.782
Total;Hombres;56 años;2021;356.042
Total;Hombres;57 años;2024;356.639
Total;Hombres;57 años;2023;351.388
Total;Hombres;57 años;2022;354.613
Total;Hombres;57 años;2021;337.437
Total;Hombres;58 años;2024;350.699
Total;Hombres;58 años;2023;353.900
Total;Hombres;58 años;2022;335.894
Total;Hombres;58 años;2021;323.867
Total;Hombres;59 años;2024;352.766
Total;Hombres;59 años;2023;334.961
Total;Hombres;59 años;2022;321.964
Total;Hombres;59 años;2021;314.441
Total;Hombres;60 años;2024;333.881
Total;Hombres;60 años;2023;321.031
Total;Hombres;60 años;2022;312.590
Total;Hombres;60 años;2021;313.639
Total;Hombres;61 años;2024;319.702
Total;Hombres;61 años;2023;311.291
Total;Hombres;61 años;2022;311.450
Total;Hombres;61 años;2021;303.346
Total;Hombres;62 años;2024;309.673
Total;Hombres;62 años;2023;309.848
Total;Hombres;62 años;2022;301.110
Total;Hombres;62 años;2021;294.197
Total;Hombres;63 años;2024;308.095
Total;Hombres;63 años;2023;299.397
Total;Hombres;63 años;2022;291.584
Total;Hombres;63 años;2021;284.401
Total;Hombres;64 años;2024;297.360
Total;Hombres;64 años;2023;289.561
Total;Hombres;64 años;2022;281.908
Total;Hombres;64 años;2021;263.144
Total;Hombres;65 años;2024;287.299
Total;Hombres;65 años;2023;279.455
Total;Hombres;65 años;2022;260.438
Total;Hombres;65 años;2021;253.312
Total;Hombres;66 años;2024;277.498
Total;Hombres;66 años;2023;257.702
Total;Hombres;66 años;2022;250.674
Total;Hombres;66 años;2021;238.649
Total;Hombres;67 años;2024;256.259
Total;Hombres;67 años;2023;248.033
Total;Hombres;67 años;2022;236.132
Total;Hombres;67 años;2021;238.143
Total;Hombres;68 años;2024;245.534
Total;Hombres;68 años;2023;233.187
Total;Hombres;68 años;2022;234.920
Total;Hombres;68 años;2021;235.013
Total;Hombres;69 años;2024;230.186
Total;Hombres;69 años;2023;231.761
Total;Hombres;69 años;2022;231.578
Total;Hombres;69 años;2021;216.919
Total;Hombres;70 años;2024;228.297
Total;Hombres;70 años;2023;228.126
Total;Hombres;70 años;2022;213.483
Total;Hombres;70 años;2021;208.625
Total;Hombres;71 años;2024;224.326
Total;Hombres;71 años;2023;209.968
Total;Hombres;71 años;2022;204.986
Total;Hombres;71 años;2021;212.521
Total;Hombres;72 años;2024;206.188
Total;Hombres;72 años;2023;200.932
Total;Hombres;72 años;2022;208.239
Total;Hombres;72 años;2021;218.400
Total;Hombres;73 años;2024;196.774
Total;Hombres;73 años;2023;203.858
Total;Hombres;73 años;2022;213.482
Total;Hombres;73 años;2021;195.936
Total;Hombres;74 años;2024;199.059
Total;Hombres;74 años;2023;208.573
Total;Hombres;74 años;2022;191.231
Total;Hombres;74 años;2021;182.746
Total;Hombres;75 años;2024;203.048
Total;Hombres;75 años;2023;186.291
Total;Hombres;75 años;2022;177.870
Total;Hombres;75 años;2021;186.154
Total;Hombres;76 años;2024;180.597
Total;Hombres;76 años;2023;172.605
Total;Hombres;76 años;2022;180.497
Total;Hombres;76 años;2021;172.732
Total;Hombres;77 años;2024;166.992
Total;Hombres;77 años;2023;174.492
Total;Hombres;77 años;2022;166.806
Total;Hombres;77 años;2021;165.121
Total;Hombres;78 años;2024;168.294
Total;Hombres;78 años;2023;160.712
Total;Hombres;78 años;2022;158.944
Total;Hombres;78 años;2021;138.051
Total;Hombres;79 años;2024;154.301
Total;Hombres;79 años;2023;152.318
Total;Hombres;79 años;2022;132.197
Total;Hombres;79 años;2021;122.500
Total;Hombres;80 años;2024;145.529
Total;Hombres;80 años;2023;126.192
Total;Hombres;80 años;2022;116.855
Total;Hombres;80 años;2021;142.862
Total;Hombres;81 años;2024;120.040
Total;Hombres;81 años;2023;111.003
Total;Hombres;81 años;2022;135.118
Total;Hombres;81 años;2021;88.171
Total;Hombres;82 años;2024;104.897
Total;Hombres;82 años;2023;127.248
Total;Hombres;82 años;2022;82.911
Total;Hombres;82 años;2021;95.244
Total;Hombres;83 años;2024;119.254
Total;Hombres;83 años;2023;77.384
Total;Hombres;83 años;2022;88.758
Total;Hombres;83 años;2021;100.132
Total;Hombres;84 años;2024;71.935
Total;Hombres;84 años;2023;82.092
Total;Hombres;84 años;2022;92.383
Total;Hombres;84 años;2021;100.172
Total;Hombres;85 años;2024;75.591
Total;Hombres;85 años;2023;84.542
Total;Hombres;85 años;2022;91.732
Total;Hombres;85 años;2021;90.313
Total;Hombres;86 años;2024;77.151
Total;Hombres;86 años;2023;82.899
Total;Hombres;86 años;2022;81.686
Total;Hombres;86 años;2021;80.936
Total;Hombres;87 años;2024;74.733
Total;Hombres;87 años;2023;73.122
Total;Hombres;87 años;2022;72.312
Total;Hombres;87 años;2021;73.403
Total;Hombres;88 años;2024;65.063
Total;Hombres;88 años;2023;63.440
Total;Hombres;88 años;2022;64.381
Total;Hombres;88 años;2021;64.021
Total;Hombres;89 años;2024;55.502
Total;Hombres;89 años;2023;55.346
Total;Hombres;89 años;2022;55.429
Total;Hombres;89 años;2021;52.302
Total;Hombres;90 años;2024;47.552
Total;Hombres;90 años;2023;46.798
